"Taxa","Session","n","S.obs","SC(n)","SC(2n)","Singletons","Doubletons"
"BenthicInvertebrates","1",4246,25,0.999764705934521,0.999995686379304,1,2
"BenthicInvertebrates","10",6244,27,1,1,0,0
"BenthicInvertebrates","11",7150,28,0.999580478262996,0.999845677371008,3,0
"BenthicInvertebrates","12",5246,25,1,1,1,0
"BenthicInvertebrates","13",5981,26,1,1,0,0
"BenthicInvertebrates","14",12123,27,1,1,0,0
"BenthicInvertebrates","15",4173,25,1,1,0,1
"BenthicInvertebrates","16",2834,26,0.998941799073554,0.999610778326771,3,0
"BenthicInvertebrates","17",7852,27,1,1,0,1
"BenthicInvertebrates","18",10237,26,1,1,1,0
"BenthicInvertebrates","19",5628,26,0.999467014105735,0.999726377529337,3,1
"BenthicInvertebrates","2",6781,26,1,1,0,2
"BenthicInvertebrates","3",4771,25,1,1,0,1
"BenthicInvertebrates","4",3563,26,0.999438990270686,0.999924075593372,2,2
"BenthicInvertebrates","5",4879,27,1,1,0,3
"BenthicInvertebrates","6",6514,26,1,1,1,0
"BenthicInvertebrates","7",5691,26,1,1,1,0
"BenthicInvertebrates","8",3248,25,0.999384615501246,0.999916716769825,2,0
"BenthicInvertebrates","9",7015,27,1,1,1,0
"Diatoms","1",16796,23,1,1,1,0
"Diatoms","10",9928,25,0.999899295067501,0.999986371069529,1,1
"Diatoms","11",5134,24,1,1,0,1
"Diatoms","12",3391,22,0.999410551237182,0.999920226789355,2,0
"Diatoms","13",6232,24,1,1,0,1
"Diatoms","14",7232,25,0.999585234350527,0.999847426794471,3,0
"Diatoms","15",9697,24,0.99989689658947,0.999986046470832,1,1
"Diatoms","16",4662,25,0.999785775551792,0.999999467623131,1,3
"Diatoms","17",7406,24,0.999594959500873,0.999792057754344,3,1
"Diatoms","18",5742,23,0.999651749967031,0.999871897129165,2,1
"Diatoms","19",5800,21,1,1,0,1
"Diatoms","2",7338,24,1,1,0,0
"Diatoms","3",8751,21,0.999771506917883,0.999969076824283,2,0
"Diatoms","4",4689,19,0.999573560786986,0.999843138510433,2,1
"Diatoms","5",7516,24,1,1,0,1
"Diatoms","6",8005,24,0.999875171650677,0.999999690117475,1,3
"Diatoms","7",6411,21,1,1,0,0
"Diatoms","8",2870,23,0.999303378698297,0.999743771998108,2,1
"Diatoms","9",8494,23,1,1,0,2
"Fish","1",2303,14,0.998697728423011,0.999331520538177,3,1
"Fish","10",2881,13,1,1,0,2
"Fish","11",3534,14,1,1,1,0
"Fish","12",2830,12,1,1,1,0
"Fish","13",2073,14,1,1,0,1
"Fish","14",4578,16,0.999563318818955,0.999940901630559,2,0
"Fish","15",2234,16,1,1,0,1
"Fish","16",1447,16,1,1,0,2
"Fish","17",4002,15,0.99975024978143,0.999966199984838,1,1
"Fish","18",6551,17,0.999389468338154,0.999686563860848,4,0
"Fish","19",2767,15,1,1,1,0
"Fish","2",5725,15,1,1,1,0
"Fish","20",2031,16,0.999015748270105,0.999638003181753,2,1
"Fish","21",3977,15,1,1,0,1
"Fish","22",4470,17,0.99932900920379,0.999753183894587,3,0
"Fish","3",2807,15,0.999288003028651,0.999903641696372,2,0
"Fish","4",1933,17,0.998448811170058,0.999429497159386,3,0
"Fish","5",2366,14,1,1,1,0
"Fish","6",3752,16,0.999200639545192,0.999705970915147,3,0
"Fish","7",3091,16,0.999353378732145,0.999912489333674,2,2
"Fish","8",2497,14,1,1,0,0
"Fish","9",1852,13,1,1,0,1
"Fish&Crustaceans","1",2320,16,0.998707268186571,0.999336416531709,3,1
"Fish&Crustaceans","10",2890,15,1,1,0,2
"Fish&Crustaceans","11",3543,16,1,1,1,0
"Fish&Crustaceans","12",2834,13,1,1,1,0
"Fish&Crustaceans","13",2083,16,0.999520383914017,0.999935091031132,1,1
"Fish&Crustaceans","14",4589,19,0.999346405259795,0.999759582132472,3,0
"Fish&Crustaceans","15",2240,17,1,1,0,1
"Fish&Crustaceans","16",1458,18,1,1,0,2
"Fish&Crustaceans","17",4008,17,0.999750747818748,0.999995430231335,1,2
"Fish&Crustaceans","18",6559,20,0.999390197430672,0.999630157193595,4,1
"Fish&Crustaceans","19",2785,18,0.999282382675109,0.999902881064428,2,0
"Fish&Crustaceans","2",5756,17,1,1,1,0
"Fish&Crustaceans","20",2034,17,0.999017199254754,0.999638536706403,2,1
"Fish&Crustaceans","21",3981,17,0.999748932996777,0.999966021777437,1,1
"Fish&Crustaceans","22",4499,20,0.99933328396892,0.999657730395129,3,1
"Fish&Crustaceans","3",2835,17,0.999295030136591,0.999904592711776,2,0
"Fish&Crustaceans","4",1940,19,0.998454405356573,0.999431554082238,3,0
"Fish&Crustaceans","5",2369,16,0.999156118293827,0.999689618803782,2,1
"Fish&Crustaceans","6",3760,17,0.999202339859665,0.999706596259298,3,0
"Fish&Crustaceans","7",3098,18,0.999354838844076,0.999912686938295,2,2
"Fish&Crustaceans","8",2503,16,1,1,0,1
"Fish&Crustaceans","9",1854,14,1,1,0,2
